sample_number,letter,raw_file,group_inferred,timepoint_inferred
1,A,210811_Nikeisha_NC-2843_DIA_1A.raw,SIT,PRE
1,B,210811_Nikeisha_NC-2843_DIA_1B.raw,SIT,POST
3,A,210811_Nikeisha_NC-2843_DIA_3A.raw,MICT,PRE
3,B,210811_Nikeisha_NC-2843_DIA_3B.raw,MICT,POST
4,A,210811_Nikeisha_NC-2843_DIA_4A.raw,SIT,PRE
4,B,210811_Nikeisha_NC-2843_DIA_4B_20210819025134.raw,SIT,POST
5,A,210811_Nikeisha_NC-2843_DIA_5A.raw,MICT,PRE
5,B,210811_Nikeisha_NC-2843_DIA_5B_20210819011350.raw,MICT,POST
6,A,210811_Nikeisha_NC-2843_DIA_6A.raw,SIT,PRE
6,B,210811_Nikeisha_NC-2843_DIA_6B.raw,SIT,POST
7,A,210811_Nikeisha_NC-2843_DIA_7A.raw,MICT,PRE
7,B,210811_Nikeisha_NC-2843_DIA_7B.raw,MICT,POST
8,A,210811_Nikeisha_NC-2843_DIA_8A.raw,SIT,PRE
8,B,210811_Nikeisha_NC-2843_DIA_8B.raw,SIT,POST
10,A,210811_Nikeisha_NC-2843_DIA_10A.raw,SIT,PRE
10,B,210811_Nikeisha_NC-2843_DIA_10B.raw,SIT,POST
11,A,210811_Nikeisha_NC-2843_DIA_11A.raw,SIT,PRE
11,B,210811_Nikeisha_NC-2843_DIA_11B.raw,SIT,POST
13,A,210811_Nikeisha_NC-2843_DIA_13A.raw,MICT,PRE
13,B,210811_Nikeisha_NC-2843_DIA_13B.raw,MICT,POST
15,A,210811_Nikeisha_NC-2843_DIA_15A.raw,SIT,PRE
15,B,210811_Nikeisha_NC-2843_DIA_15B.raw,SIT,POST
16,A,210811_Nikeisha_NC-2843_DIA_16A.raw,MICT,PRE
16,B,210811_Nikeisha_NC-2843_DIA_16B.raw,MICT,POST
17,A,210811_Nikeisha_NC-2843_DIA_17A.raw,SIT,PRE
17,B,210811_Nikeisha_NC-2843_DIA_17B.raw,SIT,POST
18,A,210811_Nikeisha_NC-2843_DIA_18A.raw,SIT,PRE
18,B,210811_Nikeisha_NC-2843_DIA_18B.raw,SIT,POST
20,A,210811_Nikeisha_NC-2843_DIA_20A.raw,SIT,PRE
20,B,210811_Nikeisha_NC-2843_DIA_20B.raw,SIT,POST
21,A,210811_Nikeisha_NC-2843_DIA_21A.raw,MICT,PRE
21,B,210811_Nikeisha_NC-2843_DIA_21B.raw,MICT,POST
22,A,210811_Nikeisha_NC-2843_DIA_22A.raw,MICT,PRE
22,B,210811_Nikeisha_NC-2843_DIA_22B.raw,MICT,POST
23,A,210811_Nikeisha_NC-2843_DIA_23A.raw,SIT,PRE
23,B,210811_Nikeisha_NC-2843_DIA_23B.raw,SIT,POST
24,A,210811_Nikeisha_NC-2843_DIA_24A.raw,SIT,PRE
24,B,210811_Nikeisha_NC-2843_DIA_24B.raw,SIT,POST
25,A,210811_Nikeisha_NC-2843_DIA_25A.raw,MICT,PRE
25,B,210811_Nikeisha_NC-2843_DIA_25B.raw,MICT,POST
26,A,210811_Nikeisha_NC-2843_DIA_26A.raw,MICT,PRE
26,B,210811_Nikeisha_NC-2843_DIA_26B.raw,MICT,POST
27,A,210811_Nikeisha_NC-2843_DIA_27A.raw,MICT,PRE
27,B,210811_Nikeisha_NC-2843_DIA_27B.raw,MICT,POST
