genus,p,delta,q,phylum
Acidaminococcus,0.0009034443817052513,0.9473684210526315,0.0036352881073377966,Firmicutes
Actinobacillus,0.00045172219085262564,0.9736842105263158,0.0029361942405420663,Proteobacteria
Anaerococcus,0.00045172219085262564,0.9736842105263158,0.0029361942405420663,Firmicutes
Anaeroglobus,0.0009034443817052513,0.9473684210526315,0.0036352881073377966,Firmicutes
Anaerostipes,0.0027103331451157537,-0.8947368421052632,0.0088085827216262,Firmicutes
Blautia,0.011970638057594579,-0.7894736842105263,0.033164554618581706,Firmicutes
Buttiauxella,0.00045172219085262564,0.9736842105263158,0.0029361942405420663,Proteobacteria
Butyricicoccus,0.00045172219085262564,-0.9736842105263158,0.0029361942405420663,Firmicutes
Campylobacter,0.00045172219085262564,0.9736842105263158,0.0029361942405420663,Campylobacterota
Candidatus Soleaferrea,0.01603613777526821,-0.7631578947368421,0.04371140780677948,Firmicutes
Citrobacter,0.011970638057594579,0.7894736842105263,0.033164554618581706,Proteobacteria
Clostridioides,0.00045172219085262564,0.9736842105263158,0.0029361942405420663,Firmicutes
Clostridium sensu stricto 13,0.00045172219085262564,0.9736842105263158,0.0029361942405420663,Firmicutes
Comamonas,0.0009034443817052513,0.9473684210526315,0.0036352881073377966,Proteobacteria
Coprobacillus,0.00045172219085262564,0.9736842105263158,0.0029361942405420663,Firmicutes
Cosenzaea,0.0009034443817052513,0.9473684210526315,0.0036352881073377966,Proteobacteria
Dialister,0.00022586109542631282,-1.0,0.0029361942405420663,Firmicutes
Dorea,0.004065499717673631,-0.868421052631579,0.012492171859760792,Firmicutes
Eikenella,0.0009034443817052513,0.9473684210526315,0.0036352881073377966,Proteobacteria
Enterobacter,0.00045172219085262564,0.9736842105263158,0.0029361942405420663,Proteobacteria
Enterococcus,0.0009034443817052513,0.9473684210526315,0.0036352881073377966,Firmicutes
Erwinia,0.0009034443817052513,0.9473684210526315,0.0036352881073377966,Proteobacteria
F0332,0.0027103331451157537,0.8947368421052632,0.0088085827216262,Actinobacteriota
Faecalibacterium,0.00022586109542631282,-1.0,0.0029361942405420663,Firmicutes
Finegoldia,0.00045172219085262564,0.9736842105263158,0.0029361942405420663,Firmicutes
Fusobacterium,0.00045172219085262564,0.9736842105263158,0.0029361942405420663,Fusobacteriota
GCA-900066575,0.00022586109542631282,-1.0,0.0029361942405420663,Firmicutes
HT002,0.00045172219085262564,0.9736842105263158,0.0029361942405420663,Firmicutes
Intestinimonas,0.00022586109542631282,-1.0,0.0029361942405420663,Firmicutes
Klebsiella,0.0009034443817052513,0.9473684210526315,0.0036352881073377966,Proteobacteria
Kosakonia,0.0009034443817052513,0.9473684210526315,0.0036352881073377966,Proteobacteria
Lachnospira,0.0027103331451157537,-0.8947368421052632,0.0088085827216262,Firmicutes
Lachnospiraceae UCG-004,0.00022586109542631282,-1.0,0.0029361942405420663,Firmicutes
Lachnospiraceae UCG-010,0.0027103331451157537,-0.8947368421052632,0.0088085827216262,Firmicutes
Lactiplantibacillus,0.00045172219085262564,0.9736842105263158,0.0029361942405420663,Firmicutes
Latilactobacillus,0.008582721626199887,0.8157894736842105,0.0250082750832376,Firmicutes
Lelliottia,0.00045172219085262564,0.9736842105263158,0.0029361942405420663,Proteobacteria
Leptotrichia,0.0009034443817052513,0.9473684210526315,0.0036352881073377966,Fusobacteriota
Leuconostoc,0.006098249576510446,0.8421052631578947,0.018403646043397594,Firmicutes
Monoglobus,0.0015810276679841897,-0.9210526315789473,0.006072583542939275,Firmicutes
Morganella,0.0009034443817052513,0.9473684210526315,0.0036352881073377966,Proteobacteria
Oscillibacter,0.00045172219085262564,-0.9736842105263158,0.0029361942405420663,Firmicutes
Paeniclostridium,0.004065499717673631,0.868421052631579,0.012492171859760792,Firmicutes
Paludicola,0.00022586109542631282,-1.0,0.0029361942405420663,Firmicutes
Parvimonas,0.0009034443817052513,0.9473684210526315,0.0036352881073377966,Firmicutes
Pediococcus,0.0009034443817052513,0.9473684210526315,0.0036352881073377966,Firmicutes
Peptoniphilus,0.00045172219085262564,0.9736842105263158,0.0029361942405420663,Firmicutes
Phascolarctobacterium,0.0027103331451157537,0.8947368421052632,0.0088085827216262,Firmicutes
Prevotella_7,0.00045172219085262564,0.9736842105263158,0.0029361942405420663,Bacteroidota
Proteus,0.0009034443817052513,0.9473684210526315,0.0036352881073377966,Proteobacteria
Pseudomonas,0.00045172219085262564,0.9736842105263158,0.0029361942405420663,Proteobacteria
Pyramidobacter,0.00045172219085262564,0.9736842105263158,0.0029361942405420663,Synergistota
Romboutsia,0.011970638057594579,-0.7894736842105263,0.033164554618581706,Firmicutes
Roseburia,0.0027103331451157537,-0.8947368421052632,0.0088085827216262,Firmicutes
Rothia,0.008582721626199887,0.8157894736842105,0.0250082750832376,Actinobacteriota
Salmonella,0.0009034443817052513,0.9473684210526315,0.0036352881073377966,Proteobacteria
Scardovia,0.0015810276679841897,0.9210526315789473,0.006072583542939275,Actinobacteriota
Selenomonas,0.0009034443817052513,0.9473684210526315,0.0036352881073377966,Firmicutes
Staphylococcus,0.0027103331451157537,0.8947368421052632,0.0088085827216262,Firmicutes
Veillonella,0.004065499717673631,0.868421052631579,0.012492171859760792,Firmicutes
Victivallis,0.0027103331451157537,0.8947368421052632,0.0088085827216262,Verrucomicrobiota
[Ruminococcus] torques group,0.00022586109542631282,-1.0,0.0029361942405420663,Firmicutes
