"genus","status","cdi","post","donor","recovered","q_moved","q_vs_donor","restored"
"Enterorhabdus","lost in CDI",0,9.70821364831717e-05,0.000125652545810178,NA,0.0065104650235898,0.591015116468657,TRUE
"Candidatus Soleaferrea","lost in CDI",1.83570782140031e-06,6.9333600373077e-05,0.000311404785898011,NA,0.00707295607097841,0.591015116468657,TRUE
"GCA-900066575","lost in CDI",3.15537044048971e-06,0.000395903268019998,0.000499869648695219,NA,0.00441261446565374,0.623042359351696,TRUE
"Lachnospiraceae UCG-004","lost in CDI",1.83570782140031e-06,0.00155124642874292,0.00163129663350049,0.950873197696221,0.00441261446565374,0.623042359351696,TRUE
"[Ruminococcus] torques group","lost in CDI",0.000448707571842558,0.0115377597263887,0.0080216368272019,1.46430156424588,0.00625297133039929,0.996519008941369,TRUE
"Faecalibacterium","lost in CDI",0.00260513498162787,0.0597831612915242,0.112927556898949,0.518281101123281,0.00781784119786006,0.591015116468657,TRUE
"Anaerotruncus","lost in CDI",3.67141564280063e-06,0.000214404260409209,0.000120628224596737,NA,0.0312343266573192,0.591015116468657,TRUE
"Butyricicoccus","lost in CDI",2.87913183211205e-05,0.00194281234923785,0.00284547288879121,0.679530498222875,0.00441261446565374,0.748067259513654,TRUE
"Oscillibacter","lost in CDI",7.59628289415952e-05,0.00106420287533665,0.00225787258426571,0.452924344823902,0.00781784119786006,0.591173984519049,TRUE
"Dialister","lost in CDI",0.00683497533607294,0.0270856767579301,0.08585101773782,0.25628594911012,0.0351778254565629,0.591015116468657,TRUE
"Paludicola","lost in CDI",1.10142469284019e-05,7.14341862658901e-05,0.000184691741853558,NA,0.0111756707119549,0.591015116468657,TRUE
"Monoglobus","lost in CDI",9.63980461705895e-05,0.00144062287233799,0.00258111135790188,0.540997957317971,0.00781784119786006,0.694931579149673,TRUE
"Intestinimonas","lost in CDI",7.88612610804718e-05,0.00114557133860967,0.000900371406310454,NA,0.00614156419439299,0.958976224972396,TRUE
"Lachnospiraceae UCG-010","lost in CDI",6.45940354585369e-05,0.000370446074738115,0.000505394717065716,NA,0.0280946734617013,0.591015116468657,TRUE
"Phocea","lost in CDI",1.44785172778866e-05,0.000128173987327359,0.000116024891047063,NA,0.0948003263263543,0.591015116468657,FALSE
"Anaerostipes","lost in CDI",0.00103577907226095,0.00470075729803536,0.0154847332075269,0.253650069857251,0.016396588364118,0.591015116468657,TRUE
"[Eubacterium] nodatum group","lost in CDI",1.54973625122376e-05,0.000587481020611811,0.00107327663611793,0.540740088572384,0.120599802006873,0.591173984519049,FALSE
"Lachnospira","lost in CDI",0.0013459844175587,0.0027239961999584,0.00352845602444877,0.631399637937697,0.0351778254565629,0.748067259513654,TRUE
"Roseburia","lost in CDI",0.000207442432187368,0.00554275506301868,0.00647292092835033,0.851541128757956,0.0312343266573192,0.78345789466041,TRUE
"Faecalitalea","lost in CDI",0.000839794893078939,0.00654334401769016,0.00409159945849659,1.75396430193482,0.35741064088768,0.591015116468657,FALSE
"Dorea","lost in CDI",0.00756612790222198,0.0176923849679658,0.0156185812050993,1.25753688781101,0.0245763399999989,0.996519008941369,TRUE
"Romboutsia","lost in CDI",0.00160087562409907,0.00378212528737059,0.00573544034690636,0.527564522388342,0.0313298092669851,0.623042359351696,TRUE
"Ruminococcus","lost in CDI",0.00169364637590597,0.00523448125730829,0.0130845865601708,0.310846587210908,0.026589214052154,0.623042359351696,TRUE
"Coprococcus","lost in CDI",0.00112449373757314,0.0077192950973305,0.0125020208370069,0.579633983916028,0.0170624247768478,0.699328332130991,TRUE
"[Eubacterium] eligens group","lost in CDI",0,0.00354791611403984,0.00361610437076972,0.981143172392625,0.00781784119786006,0.78345789466041,TRUE
"Lachnospiraceae NC2004 group","lost in CDI",0,0.000750626811780817,0.000373282549622899,NA,0.0313298092669851,0.681695804085379,TRUE
"Sellimonas","lost in CDI",0,0.00221074237479541,0.00169215201668342,1.30646794909622,0.0313298092669851,0.591015116468657,TRUE
"Family XIII AD3011 group","lost in CDI",3.07913057669037e-06,0.00133307598772816,0.00104457445116213,1.27700704061143,0.00614156419439299,1,TRUE
"Oscillospira","lost in CDI",3.67141564280063e-06,4.65536349023147e-05,0.00040402295969167,NA,0.0312343266573192,0.591015116468657,TRUE
"Lachnospiraceae NK4A136 group","lost in CDI",0.000621918814675492,0.00178515318476018,0.00234332557227665,0.675746371360652,0.0452035443922877,0.748067259513654,TRUE
"Lachnospiraceae ND3007 group","lost in CDI",3.89177268747949e-06,0.000598048377672304,0.000768612759641387,NA,0.00614156419439299,0.78345789466041,TRUE
"UCG-009","lost in CDI",4.91483839809068e-06,0.000154817138465543,0.000371019708430791,NA,0.00951598302900023,0.699328332130991,TRUE
"[Eubacterium] ventriosum group","lost in CDI",1.62528422157825e-06,4.68236132343662e-05,0.000321039313856634,NA,0.224973173193157,0.591015116468657,FALSE
"Colidextribacter","lost in CDI",5.50712346420094e-05,0.0011424468787143,0.00253550012805386,0.43838210680436,0.00625297133039929,0.713371009874129,TRUE
"Candidatus Stoquefichus","lost in CDI",3.66459256731959e-05,0.00217112206668948,0.0180256705359459,0.118654356601268,0.0956387730008738,0.699328332130991,FALSE
"UBA1819","lost in CDI",0.000518100855233396,0.00100819125476382,0.000616154362237523,NA,0.0452035443922877,0.813982276762215,TRUE
"Adlercreutzia","lost in CDI",1.40933775050923e-05,0.000256067128194561,0.000299961981780952,NA,0.00781784119786006,0.80688346769251,TRUE
"Subdoligranulum","lost in CDI",0.000625936780520126,0.00633368602150798,0.021053464305211,0.279414590634567,0.0220895504394828,0.676627151545873,TRUE
"[Eubacterium] xylanophilum group","lost in CDI",3.07913057669037e-06,3.88798217263928e-05,0.000594533192627352,NA,0.0756888818949595,0.623042359351696,FALSE
"Defluviitaleaceae UCG-011","lost in CDI",1.83570782140031e-05,6.94330412735117e-05,0.000169878439840887,NA,0.0280946734617013,0.713371009874129,TRUE
"[Eubacterium] hallii group","lost in CDI",9.05825613676823e-05,0.00491753240706024,0.0123583258394839,0.393466812620958,0.00707295607097841,0.699328332130991,TRUE
"Lachnospiraceae FCS020 group","lost in CDI",1.21693094519363e-05,0.00032823150357328,0.000524569436558821,NA,0.00781784119786006,0.921921619652756,TRUE
"CAG-352","lost in CDI",5.32355268206091e-05,0.000132027034217869,0.00017601207361259,NA,0.264149587030549,0.591015116468657,FALSE
"FD2005","lost in CDI",1.69773283543042e-05,8.12102446883534e-05,0.000120939017521782,NA,0.183104380792163,0.623042359351696,FALSE
"Negativibacillus","lost in CDI",0.000151771464110116,0.00134625974519963,0.000841036129784103,NA,0.0245763399999989,0.921921619652756,TRUE
"[Eubacterium] brachy group","lost in CDI",4.5229830596397e-05,0.000238643459683249,0.000552587473633005,NA,0.191819019562046,0.681695804085379,FALSE
"[Eubacterium] siraeum group","lost in CDI",0.000104694198442887,0.000403248624404236,0.000119692939899295,NA,0.0841036150120117,0.813982276762215,FALSE
"Eisenbergiella","lost in CDI",0.000834663938558519,0.00150594265482122,0.00198500099741942,0.583549587568209,0.165828826391124,0.623042359351696,FALSE
"Dielma","lost in CDI",1.93769158925589e-06,0.00206104319343654,0.000202443734728952,NA,0.00614156419439299,0.958976224972396,TRUE
"DTU089","lost in CDI",1.83570782140031e-06,0.000129568965240938,0.00112667786607114,0.113556605682606,0.0452035443922877,0.78345789466041,TRUE
"Lachnospiraceae UCG-001","lost in CDI",3.67141564280063e-06,6.48095217645546e-05,0.000397860305628687,NA,0.12641831441328,0.699328332130991,FALSE
"Veillonella","blooms in CDI",0.0411241733437094,0.00846462814669225,0.000142262266007095,0.796925871394679,0.0956387730008738,0.694931579149673,FALSE
"Klebsiella","blooms in CDI",0.138085402982043,0.0321652073849965,4.15586142695658e-06,0.767086029462956,0.0538264840759435,0.591015116468657,FALSE
