"genus","p","delta","q","status"
"Enterorhabdus",4.17560105375163e-06,-1,0.000705676578084026,"lost in CDI"
"Candidatus Soleaferrea",2.52033125921287e-05,-1,0.00106483995701744,"lost in CDI"
"GCA-900066575",2.52033125921287e-05,-1,0.00106483995701744,"lost in CDI"
"Lachnospiraceae UCG-004",2.52033125921287e-05,-1,0.00106483995701744,"lost in CDI"
"[Ruminococcus] torques group",0.00150474459189929,-1,0.0123234263598452,"lost in CDI"
"Faecalibacterium",0.00171247269114553,-1,0.0123234263598452,"lost in CDI"
"Anaerotruncus",4.12035129335206e-05,-0.973684210526316,0.001392678737153,"lost in CDI"
"Butyricicoccus",0.000127026617055102,-0.973684210526316,0.00214674982823122,"lost in CDI"
"Oscillibacter",0.000280042434777945,-0.973684210526316,0.00394393095645605,"lost in CDI"
"Dialister",0.00299859677861913,-0.973684210526316,0.0168920951862211,"lost in CDI"
"Paludicola",0.000106216660717455,-0.921052631578947,0.00199451285124998,"lost in CDI"
"Monoglobus",0.000594698569194028,-0.921052631578947,0.00717886129955648,"lost in CDI"
"Intestinimonas",0.00100089999346892,-0.921052631578947,0.00995012346448517,"lost in CDI"
"Lachnospiraceae UCG-010",0.00016749296823097,-0.894736842105263,0.00257330105736673,"lost in CDI"
"Phocea",0.000436155171048206,-0.894736842105263,0.00567001722362667,"lost in CDI"
"Anaerostipes",0.00400043658735651,-0.894736842105263,0.0211273057269765,"lost in CDI"
"[Eubacterium] nodatum group",0.001716139068146,-0.842105263157895,0.0123234263598452,"lost in CDI"
"Lachnospira",0.00266312711565172,-0.842105263157895,0.0155196028463842,"lost in CDI"
"Roseburia",0.00680377940917186,-0.842105263157895,0.0319399644486123,"lost in CDI"
"Faecalitalea",0.00239839999818182,-0.815789473684211,0.0151388620283661,"lost in CDI"
"Dorea",0.00984203230053484,-0.815789473684211,0.039602463304533,"lost in CDI"
"Romboutsia",0.0121132719154312,-0.815789473684211,0.0454920656379528,"lost in CDI"
"Ruminococcus",0.0065746749129089,-0.789473684210526,0.0317462874366173,"lost in CDI"
"Coprococcus",0.0106937526583956,-0.763157894736842,0.041073731801565,"lost in CDI"
"[Eubacterium] eligens group",0.000105110394910952,-0.75,0.00199451285124998,"lost in CDI"
"Lachnospiraceae NC2004 group",0.000105110394910952,-0.75,0.00199451285124998,"lost in CDI"
"Sellimonas",0.000105110394910952,-0.75,0.00199451285124998,"lost in CDI"
"Family XIII AD3011 group",0.000737818374394089,-0.736842105263158,0.00779320657953757,"lost in CDI"
"Oscillospira",0.000737818374394089,-0.736842105263158,0.00779320657953757,"lost in CDI"
"Lachnospiraceae NK4A136 group",0.0137784932584434,-0.736842105263158,0.048511778347436,"lost in CDI"
"Lachnospiraceae ND3007 group",0.00241863476192831,-0.723684210526316,0.0151388620283661,"lost in CDI"
"UCG-009",0.00241863476192831,-0.723684210526316,0.0151388620283661,"lost in CDI"
"[Eubacterium] ventriosum group",0.00114437119038794,-0.710526315789474,0.0101788805881875,"lost in CDI"
"Colidextribacter",0.00114437119038794,-0.710526315789474,0.0101788805881875,"lost in CDI"
"Candidatus Stoquefichus",0.0053983741084465,-0.710526315789474,0.0268330948331606,"lost in CDI"
"UBA1819",0.0146352412213445,-0.710526315789474,0.0489412678575393,"lost in CDI"
"Adlercreutzia",0.00348917199581206,-0.697368421052632,0.0190216150739431,"lost in CDI"
"Subdoligranulum",0.00965468355339379,-0.697368421052632,0.039602463304533,"lost in CDI"
"[Eubacterium] xylanophilum group",0.00175007238246323,-0.684210526315789,0.0123234263598452,"lost in CDI"
"Defluviitaleaceae UCG-011",0.00175007238246323,-0.684210526315789,0.0123234263598452,"lost in CDI"
"[Eubacterium] hallii group",0.0150181377368229,-0.684210526315789,0.0489412678575393,"lost in CDI"
"Lachnospiraceae FCS020 group",0.00497500839976728,-0.671052631578947,0.0254780733200203,"lost in CDI"
"CAG-352",0.00263899959754228,-0.657894736842105,0.0155196028463842,"lost in CDI"
"FD2005",0.0101034884745119,-0.657894736842105,0.0397090593533143,"lost in CDI"
"Negativibacillus",0.0070114148024609,-0.644736842105263,0.0320251108544836,"lost in CDI"
"[Eubacterium] brachy group",0.00976743348198106,-0.618421052631579,0.039602463304533,"lost in CDI"
"[Eubacterium] siraeum group",0.0134506233360937,-0.592105263157895,0.0483650073148901,"lost in CDI"
"Eisenbergiella",0.0134506233360937,-0.592105263157895,0.0483650073148901,"lost in CDI"
"Dielma",0.0153484449494058,-0.473684210526316,0.0489412678575393,"lost in CDI"
"DTU089",0.0153484449494058,-0.473684210526316,0.0489412678575393,"lost in CDI"
"Lachnospiraceae UCG-001",0.0153484449494058,-0.473684210526316,0.0489412678575393,"lost in CDI"
"Veillonella",0.00942655239590719,0.855263157894737,0.039602463304533,"blooms in CDI"
"Klebsiella",0.008067788512314,0.868421052631579,0.0358804278573965,"blooms in CDI"
