"sample","own_donor","d_own","d_other"
"FMT06","FMT01",0.377862554843419,0.555485067924236
"FMT100","FMT34",0.761572824370737,0.824772776818443
"FMT102","FMT34",0.668592089838469,0.783748589372142
"FMT105","FMT34",0.410666223156525,0.689785712028792
"FMT106","FMT33",0.360359335056336,0.598220504730978
"FMT109","FMT30",0.976072411949083,0.983163893920265
"FMT11","FMT02",0.57004039971496,0.623311362968449
"FMT110","FMT34",0.216670639059302,0.606980582731409
"FMT11A","FMT02",0.577466045184489,0.648011339997454
"FMT12","FMT02",0.501179472803172,0.561739938047904
"FMT12A","FMT02",0.492298340814659,0.577814303841158
"FMT13","FMT02",0.73842591258496,0.758707771407038
"FMT13A","FMT02",0.518779249072247,0.694311694716245
"FMT14","FMT02",0.478073515655391,0.553347712296595
"FMT14A","FMT02",0.743299110684233,0.766466835097084
"FMT16","FMT02",0.770211112363514,0.68159859373832
"FMT16A","FMT02",0.982167240053492,0.844762895697116
"FMT17","FMT02",0.69186768693718,0.641513684192949
"FMT17A","FMT02",0.794437913338384,0.713867649196175
"FMT18","FMT02",0.690004446076557,0.758472410674309
"FMT19","FMT02",0.643678413249671,0.676105969489508
"FMT19A","FMT02",0.671700104182111,0.682546651880933
"FMT21","FMT02",0.430297302025752,0.654142390413052
"FMT21A","FMT02",0.99572816652907,0.991707336265621
"FMT22","FMT02",0.488789172431173,0.604302043164113
"FMT24","FMT02",0.413424206969588,0.618220995823303
"FMT25","FMT02",0.449052631893101,0.670649849778365
"FMT25A","FMT02",0.428224127594024,0.633977198778671
"FMT37","FMT01",0.748443272398882,0.775484071213707
"FMT39","FMT01",0.353125000934451,0.516465732337631
"FMT41","FMT01",0.313402564657807,0.485555669883498
"FMT43","FMT02",0.465185663652087,0.541764546548992
"FMT44","FMT02",0.691981729581073,0.734341982253951
"FMT47","FMT02",0.472485162835809,0.644036989698575
"FMT49","FMT02",0.569381436569194,0.560890834346432
"FMT50","FMT02",0.944921267649087,0.899722034451943
"FMT53","FMT02",0.521678120608192,0.675394691255087
"FMT55","FMT02",0.45879421463453,0.663162397900226
"FMT58","FMT02",0.996998535298487,0.997291738530036
"FMT62","FMT02",0.566746263742722,0.729491813676831
"FMT64","FMT02",0.682036335370923,0.718234084678062
"FMT66","FMT02",0.543748175364353,0.6783910437809
"FMT67","FMT04",0.743118024816494,0.76797963329741
"FMT6A","FMT01",0.397034590320514,0.553389024385605
"FMT71","FMT27",0.662580658577072,0.674149913813262
"FMT77","FMT27",0.341138517215964,0.54690474316018
"FMT80","FMT04",0.874008851448524,0.868877712029405
"FMT84","FMT27",0.39850087744212,0.577080677902994
"FMT85","FMT27",0.426595560265707,0.526251283793
"FMT92A","FMT27",0.492576611372148,0.532081972121761
"FMT92B","FMT27",0.518876273782871,0.550387798450793
"FMT95","FMT34",0.940293752818018,0.938264914329138
"FMT97","FMT33",0.434509176098858,0.691031510878317
"FMT98","FMT33",0.414430675527641,0.672220274426583
